row_id,tomo_id,Motor axis 0,Motor axis 1,Motor axis 2,Array shape (axis 0),Array shape (axis 1),Array shape (axis 2),Voxel spacing,Number of motors
14,tomo_0363f2,50.0,574.0,392.0,300,960,928,13.1,1
17,tomo_04d42b,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
23,tomo_072a16,-1.0,-1.0,-1.0,300,960,928,16.8,0
32,tomo_0a8f05,52.0,587.0,575.0,300,928,928,13.1,1
58,tomo_1446aa,149.0,293.0,601.0,300,960,928,13.1,1
72,tomo_1af88d,24.0,306.0,619.0,300,960,928,13.1,1
85,tomo_1e9980,-1.0,-1.0,-1.0,300,960,928,16.8,0
111,tomo_2483bb,145.0,620.0,483.0,300,960,928,15.6,1
114,tomo_256717,172.0,770.0,514.0,300,928,928,15.6,1
141,tomo_2e1f4c,73.0,86.0,334.0,300,959,928,15.6,1
147,tomo_30b580,142.0,392.0,575.0,300,928,928,13.1,1
150,tomo_3183d2,168.0,136.0,475.0,300,959,928,15.6,1
183,tomo_3c6038,99.0,324.0,156.0,300,959,928,15.6,1
189,tomo_3e7783,186.0,531.0,617.0,300,960,928,13.1,1
200,tomo_4469a7,-1.0,-1.0,-1.0,300,960,928,16.8,0
213,tomo_49725c,150.0,624.0,739.0,300,959,928,15.6,2
214,tomo_49725c,109.0,186.0,166.0,300,959,928,15.6,2
251,tomo_568537,215.0,531.0,386.0,300,960,928,13.1,1
253,tomo_56b9a3,60.0,299.0,498.0,300,928,928,13.1,1
284,tomo_62eea8,111.0,469.0,334.0,300,960,928,13.1,2
319,tomo_6bc974,74.0,555.0,610.0,300,928,928,13.1,1
327,tomo_6df2d6,105.0,788.0,537.0,300,960,928,13.1,1
340,tomo_736dfa,-1.0,-1.0,-1.0,800,927,959,13.1,0
350,tomo_79756f,206.0,795.0,230.0,300,959,928,15.6,1
351,tomo_79a385,196.0,704.0,676.0,300,960,928,15.6,1
370,tomo_81445c,102.0,807.0,233.0,300,960,928,13.1,1
384,tomo_88af60,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
391,tomo_8d231b,-1.0,-1.0,-1.0,300,960,928,15.6,0
411,tomo_935ae0,133.0,578.0,123.0,300,960,928,13.1,1
416,tomo_957567,-1.0,-1.0,-1.0,300,960,928,13.1,0
444,tomo_9c0253,209.0,408.0,821.0,300,960,928,13.1,1
456,tomo_a0cb00,88.0,529.0,700.0,300,960,928,13.1,1
509,tomo_b24f1a,-1.0,-1.0,-1.0,300,960,928,15.6,0
520,tomo_b4d92b,96.0,625.0,647.0,300,960,928,13.1,1
528,tomo_b80310,123.0,429.0,296.0,300,928,928,13.1,1
535,tomo_b9de3e,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
567,tomo_c38e83,-1.0,-1.0,-1.0,500,928,960,13.1,0
584,tomo_ca1d13,364.0,72.0,688.0,500,928,960,13.1,1
600,tomo_cf5bfc,-1.0,-1.0,-1.0,800,928,960,13.1,0
636,tomo_da79d8,239.0,186.0,492.0,500,924,956,19.7,4
637,tomo_da79d8,205.0,184.0,492.0,500,924,956,19.7,4
638,tomo_da79d8,223.0,206.0,491.0,500,924,956,19.7,4
639,tomo_da79d8,218.0,165.0,493.0,500,924,956,19.7,4
647,tomo_dcb9b4,153.0,493.0,359.0,300,960,928,15.6,1
649,tomo_decb81,59.0,588.0,478.0,300,960,928,15.6,1
657,tomo_e22370,253.0,741.0,255.0,500,924,956,19.7,3
658,tomo_e22370,254.0,737.0,296.0,500,924,956,19.7,3
659,tomo_e22370,242.0,742.0,278.0,500,924,956,19.7,3
691,tomo_ec607b,432.0,159.0,202.0,500,928,960,13.1,2
692,tomo_ec607b,466.0,458.0,301.0,500,928,960,13.1,2
693,tomo_ecbc12,-1.0,-1.0,-1.0,800,928,960,13.1,0
694,tomo_ed1c97,241.0,64.0,186.0,500,924,956,19.7,1
697,tomo_efe1f8,41.0,750.0,427.0,300,960,928,13.1,1
698,tomo_f07244,-1.0,-1.0,-1.0,800,928,960,13.1,0
699,tomo_f0adfc,175.0,550.0,671.0,300,960,928,13.1,1
712,tomo_f76529,31.0,586.0,683.0,300,960,928,15.6,1
733,tomo_fe85f6,-1.0,-1.0,-1.0,800,928,960,13.1,0
